mkey,ntsb_no,event_date,city,state,country,narrative_text,aircraft_type,phase_of_flight,cause_codes
202391,WPR26LA096,2026-02-04 13:45:00+00:00,St. George,Utah,United States,"The pilot’s improper application of brakes, which resulted in a nose over.",CHAMPION 7ECA AIR,Landing-landing roll,0206304044|0106202020
202390,GAA26WA092,2026-02-03 05:00:00+00:00,Las Cayes,Other Foreign,Haiti,,PIPER PA31 AIR,Enroute-cruise,
202387,CEN26LA108,2026-01-30 10:30:00+00:00,Durango,Colorado,United States,The ground crewmember’s failure to immediately let go of the balloon after it began an inadvertent climb while landing.,ADAMS BALLOON A55S BALL,Landing,0204102539
202413,DCA26WA114,2026-01-29 17:09:00+00:00,Canberra,,Australia,,SAAB 340B AIR,Initial climb,
202364,ERA26LA100,2026-01-29 13:30:00+00:00,Floral City,Florida,United States,The student pilot’s loss of helicopter control during landing.,BELL 47G-3B HELI,Landing,0206304044|0106202420
202350,GAA26WA085,2026-01-28 04:18:00+00:00,Sawantwadi,Other Foreign,India,,LEARJET 45XR,Approach-IFR final approach,
202358,DCA26LA104,2026-01-27 12:20:00+00:00,Houston,Texas,United States,,MARTIN/GENERAL DYNAMICS WB-57F AIR,Landing,
202352,GAA26WA086,2026-01-27 06:55:00+00:00,Norwell,Other Foreign,Austria,,VANS RV-8A AIR,Enroute-cruise,
202410,GAA26WA097,2026-01-23 18:14:00+00:00,Pucallpa,Other Foreign,Peru,,CESSNA C152 AIR,Unknown,
202394,GAA26WA093,2026-01-22 17:13:00+00:00,Lelystad,Other Foreign,Netherlands,,PIPER PA-28-181 AIR,Takeoff,
202335,WPR26LA089,2026-01-22 15:30:00+00:00,Newkirk,New Mexico,United States,"The pilots inadequate preflight planning and improper in-flight decision-making, which resulted in a total loss of engine power due to fuel exhaustion and a subsequent landing on rough terrain.",PIPER PA-23 AIR,Prior to flight,0302101591|0206151040|0206103040|0204152040
202312,CEN26FA093,2026-01-18 17:40:00+00:00,Holly Springs,Mississippi,United States,,PIPER PA-28-140 AIR,Takeoff,
202313,WPR26FA082,2026-01-18 16:10:00+00:00,Kamas,Utah,United States,,BELL HELICOPTER TEXTRON 206L-1 HELI,Landing,
202411,GAA26WA098,2026-01-18 15:24:00+00:00,Mt Hotham Aerodrome,,Australia,,BELL 212 HELI,Maneuvering-low-alt flying,
202319,CEN26LA094,2026-01-16 12:30:00+00:00,Amery,Wisconsin,United States,,CESSNA 172K AIR,Approach-VFR pattern downwind,
202353,DCA26LA102,2026-01-15 13:53:00+00:00,Kodiak,Alaska,United States,The reduced surface friction of the contaminated ramp which led to a loss of directional control during taxi.,BOEING 737 AIR,Taxi,0302301582|0206304044
202670,DCA26WA160,2026-01-15 05:00:00+00:00,Simberi,,Papua New Guinea,,ATR ATR42 AIR,Landing,
202293,DCA26WA092,2026-01-12 06:55:00+00:00,Auckland,,New Zealand,,SAAB SF340 AIR,Enroute,
202282,ERA26LA091,2026-01-10 20:25:00+00:00,Port St. Lucie,Florida,United States,,PIPER PA-28-180 AIR,Initial climb,
202281,GAA26WA070,2026-01-10 14:17:00+00:00,Kansar,,India,,CESSNA 208 AIR,Enroute,
202304,CEN26LA092,2026-01-07 15:03:00+00:00,San Marcos,Texas,United States,"The flight instructor’s failure to properly configure the elevator trim for the takeoff, that resulted in a hard landing. Contributing to the accident was the flight instructor’s failure to follow the before takeoff checklist.",CESSNA 172 AIR,Takeoff,0206303040|0206304040|0102273011|0202152040|0204103540
202286,GAA26WA071,2026-01-07 12:59:00+00:00,Nuwara Eliya,,Sri Lanka,,CESSNA 208 AIR,Landing-aborted after touchdown,
202253,CEN26LA079,2026-01-05 16:45:00+00:00,Fredericksburg,Texas,United States,,CANARD AERO LLC SW-51 MUSTANG AIR,Initial climb,
202237,WPR26FA074,2026-01-02 12:00:00+00:00,Superior,Arizona,United States,,MD HELICOPTERS LLC 369FF HELI,Maneuvering-low-alt flying,
